meanfreq,sd,median,Q25,Q75,iqr,skew,kurt,mode,low,peak,centroid,flatness,spectral rolloff,spectral bandwidth,LABEL
0.25885763833061537,0.0198059654196188,0.2575,0.24625,0.27375,0.0275,-0.34157039754040697,0.0020001125374520252,0.25,0.21,0.295,2018.4255983762268,0.00025218745577149093,3935.262169761378,1694.334261255871,m
0.21103840734101145,0.04138281090974997,0.22,0.205,0.23500000000000004,0.03,-1.1023167257109308,0.9590660020958012,0.215,0.085,0.28500000000000003,1865.8392874795386,0.00041758036240935326,3557.3899810291578,1691.176842230264,m
0.2304098452073057,0.04038598146275643,0.23500000000000004,0.21,0.255,0.045,-0.9714060664100882,1.612720812954996,0.23500000000000004,0.085,0.295,1979.8643051490333,0.00033279153285548086,3717.051639813412,1608.0014573438643,m
0.15203609107161056,0.0620445568873343,0.12,0.095,0.19,0.095,0.6685762692453368,-0.6564479242015775,0.12,0.08,0.295,1750.4792225442725,0.00023417228658217934,3396.2309565692517,1578.495414494329,m
0.21795143942352066,0.03576398233649688,0.215,0.19,0.245,0.055,-0.09827426558634976,-0.8370033404902615,0.215,0.15,0.28500000000000003,1967.7647009697675,0.00030247619724832475,3606.0918212976735,1569.61083041409,m
0.23,0.0282842712474619,0.2175,0.21375,0.2375,0.02375,0.957080076879448,-0.76708984375,0.215,0.2,0.28,1771.94304458718,0.00028712471248582006,3364.967139991554,1531.6378928345364,m
0.17184228339062996,0.05062200598796199,0.18,0.155,0.2,0.045,-0.3310435334262553,0.040058435619295896,0.18,0.045,0.295,1659.6168076094907,0.0006386917666532098,3091.915940859406,1564.0222547712826,m
0.2633333333333333,0.022484562605386726,0.265,0.25,0.2775,0.0275,-0.11078011765484147,-1.5000000000000009,0.23500000000000004,0.23500000000000004,0.29,1709.9940727182627,0.00017302122432738545,3300.416179906542,1375.1140894420596,m
0.1822676090104054,0.059505178370292136,0.205,0.12,0.23500000000000004,0.11500000000000005,0.046439413034375515,-1.3930290912326804,0.12,0.045,0.295,1452.7377818509744,0.00033124204492196435,2796.766579348076,1477.5391124291746,m
0.2098340787005997,0.03896001412073497,0.205,0.195,0.23,0.035,-0.4814320082651075,1.40824932734943,0.2,0.08743169398907104,0.295,1413.3263831345425,0.0004318864666856826,2578.7870942868976,1318.466584765688,m
0.1945,0.07610683280757385,0.1375,0.13,0.2875,0.1575,0.4026519964438744,-1.8211121500219518,0.13,0.13,0.29,1490.6505539971906,0.00019205470744054765,2866.5478515625,1626.7448917363586,m
0.18289512161877505,0.07961338488347748,0.165,0.095,0.2625,0.1675,0.1030516402963224,-1.6953944029256691,0.095,0.08,0.295,1028.5034208450334,0.00010731968359323217,1910.6090749653395,1217.2551151302148,m
0.1975,0.07045979941309323,0.195,0.12875,0.2575,0.12875,0.06843126744977439,-1.8457080498685523,0.12,0.12,0.29,1034.4651886874574,0.00010541405208641663,1833.9413276085488,1264.1294542064004,m
0.16118127925117004,0.10542946234956946,0.15,0.07,0.29,0.22,0.16819886706331078,-1.676899223076198,0.075,0.025,0.2995319812792512,1091.8357381963872,0.0001501897640991956,2111.540795572506,1237.2434628655276,m
0.18139635368912466,0.06956765885131712,0.13872315501757124,0.12,0.26,0.14,0.3648151455475043,-1.7193834365085656,0.12,0.105,0.295,803.2867082054813,2.9448548957589082e-05,1466.127848048111,1220.3530190398508,m
